# entity id	tokens	
258	2 1303 1304 3
259	2 1306 1307 3
260	2 49 52 8 6 50 149 33 59 290 88 20 44 3
261	2 31 8 6 148 94 5 159 3
262	2 1311 3
263	2 1312 1313 3
264	2 1190 1314 3
265	2 116 998 1276 3
266	2 72 163 4 21 83 16 6 22 255 3
267	2 1323 1324 306 3
268	2 72 163 4 21 83 16 6 22 122 32 3
269	2 536 1165 3
270	2 30 4 615 1333 10 966 3
271	2 298 627 3
272	2 476 482 4 1337 3
273	2 1340 1341 3
274	2 310 675 682 242 1332 1063 3
275	2 1346 3
276	2 1347 1108 1348 3
277	2 50 132 41 49 52 3
278	2 583 550 3
279	2 39 1363 3
280	2 767 1375 3
281	2 81 16 6 22 497 319 3
282	2 570 1119 1379 3
283	2 764 1382 3
284	2 472 596 3
285	2 160 1364 3
286	2 1396 3
287	2 109 8 6 89 105 3
288	2 1400 1401 3
289	2 1403 3
290	2 1411 3
291	2 192 36 330 595 8 4 7 57 3
292	2 1414 3
293	2 1419 3
294	2 1420 3
295	2 109 8 6 89 82 3
296	2 1425 3
297	2 1321 1269 21 3
298	2 1426 1427 3
299	2 155 315 1428 3
300	2 1429 3
301	2 1431 3
302	2 1435 3
303	2 81 16 6 22 1156 3
304	2 1445 880 1446 3
305	2 102 44 8 6 7 1448 3
306	2 415 1454 3
307	2 72 163 4 21 83 16 6 22 32 3
308	2 991 342 297 741 3
309	2 111 4 10 1463 451 3
310	2 43 65 48 8 6 7 45 59 97 57 3
311	2 1467 3
312	2 43 65 48 8 6 50 64 75 20 170 33 13 20 254 191 59 97 57 3
313	2 1175 225 1109 3
314	2 1469 238 3
315	2 367 587 3
316	2 1470 3
317	2 26 1473 19 23 3
318	2 90 1474 3
319	2 1466 4 1402 3
320	2 1487 3
321	2 1489 1490 180 12 3
322	2 1218 422 1492 553 3
323	2 102 44 8 6 7 792 3
324	2 109 8 6 89 45 3
325	2 1499 3
326	2 533 1500 3
327	2 1502 3
328	2 200 208 3
329	2 214 1505 3
330	2 1507 27 1508 3
331	2 84 990 402 1509 117 3
332	2 49 52 8 6 63 33 59 290 88 20 44 3
333	2 1514 177 3
334	2 1001 205 4 10 1515 4 1516 3
335	2 1517 3
336	2 1523 3
337	2 5 73 658 1150 673 3
338	2 1534 4 532 3
339	2 1536 1537 3
340	2 581 168 195 111 3
341	2 109 8 6 89 1544 1545 1546 88 1547 3
342	2 974 1549 3
343	2 1550 3
344	2 418 1373 3
345	2 876 802 1559 1560 3
346	2 5 704 94 5 1564 5 777 1216 17 3
347	2 1252 1565 3
348	2 1433 1566 3
349	2 194 36 3
350	2 1230 246 959 967 3
351	2 5 136 1283 1582 71 1583 1584 1244 3
352	2 5 687 1097 21 3
353	2 1586 62 3
354	2 5 1590 1591 1201 1592 3
355	2 366 1563 195 130 3
356	2 1604 1605 915 1606 3
357	2 43 65 48 8 6 1607 1608 75 20 240 33 13 20 63 191 59 97 57 3
358	2 1614 3
359	2 192 21 83 256 16 6 22 734 3
360	2 194 234 8 6 7 33 3
361	2 515 933 1633 3
362	2 1637 1623 3
363	2 1640 369 3
364	2 1022 672 690 3
365	2 26 1642 215 3
366	2 896 1644 3
367	2 1529 18 3
368	2 1650 3
369	2 1653 3
370	2 1080 1657 3
371	2 1660 3
372	2 1662 1663 111 3
373	2 1666 71 1667 3
374	2 1611 1293 3
375	2 30 4 610 1675 135 164 1239 3
376	2 310 1679 1680 3
377	2 1683 3
378	2 7 185 120 3
379	2 1561 1685 3
380	2 326 400 1687 3
381	2 345 236 1690 1153 3
382	2 1691 16 3
383	2 31 25 581 3
384	2 969 1699 3
385	2 178 16 6 22 678 319 3
386	2 189 1701 3
387	2 1395 121 1188 1707 1708 3
388	2 81 16 6 22 1366 692 141 3
389	2 49 52 8 6 50 149 45 140 290 88 20 44 3
390	2 1723 3
391	2 1327 31 25 74 11 80 3
392	2 1725 1726 3
393	2 568 1730 3
394	2 264 946 1099 329 59 39 26 887 3
395	2 1733 17 3
396	2 31 25 4 666 3
397	2 1736 3
398	2 366 31 16 3
399	2 192 21 83 256 16 6 22 122 78 3
400	2 1738 3
401	2 589 70 1739 3
402	2 1742 62 3
403	2 1745 1746 3
404	2 1235 1648 3
405	2 1755 3
406	2 1756 1260 3
407	2 24 986 3
408	2 742 1761 297 741 3
409	2 1765 121 1766 3
410	2 370 815 217 3
411	2 276 31 25 3
412	2 554 844 1772 3
413	2 5 891 1776 3
414	2 380 1778 3
415	2 5 1779 73 3
416	2 1781 3
417	2 690 1786 3
418	2 1790 3
419	2 688 1800 3
420	2 1803 306 3
421	2 472 124 3
422	2 512 188 3
423	2 1070 1460 582 3
424	2 1806 3
425	2 357 1562 393 3
426	2 739 1807 3
427	2 49 52 8 6 50 149 33 140 132 41 3
428	2 1812 1813 3
429	2 202 31 25 3
430	2 1819 138 181 3
431	2 1821 3
432	2 755 862 96 11 314 3
433	2 164 1829 3
434	2 1831 3
435	2 31 631 3
436	2 1729 856 168 1026 3
437	2 31 25 4 513 3
438	2 84 1837 303 3
439	2 1840 1841 3
440	2 136 1843 3
441	2 30 4 1848 363 215 3
442	2 31 25 803 3
443	2 995 295 1852 3
444	2 1384 1090 3
445	2 73 4 646 3
446	2 1720 861 1543 3
447	2 1858 131 3
448	2 1859 662 3
449	2 540 31 25 3
450	2 27 1619 1867 3
451	2 1873 1874 3
452	2 1617 54 94 1527 3
453	2 1887 3
454	2 1006 1888 3
455	2 1641 1890 3
456	2 95 1891 1892 3
457	2 989 1250 3
458	2 1893 495 1894 3
459	2 1703 1774 3
460	2 1794 26 224 587 3
461	2 31 25 4 878 3
462	2 102 44 8 6 7 464 64 3
463	2 1900 3
464	2 1901 3
465	2 269 1905 3
466	2 138 278 1908 3
467	2 214 1910 3
468	2 19 697 943 3
469	2 194 234 8 6 7 63 170 3
470	2 1917 1219 3
471	2 1919 3
472	2 941 709 3
473	2 1920 1921 3
474	2 26 1155 3
475	2 5 1925 157 12 3
476	2 49 52 8 6 50 494 33 59 132 41 3
477	2 1928 3
478	2 1200 1368 3
479	2 5 123 9 3
480	2 310 774 1933 3
481	2 213 326 511 3
482	2 1481 453 929 657 3
483	2 1944 360 1945 3
484	2 1948 511 3
485	2 248 1949 3
486	2 1444 849 1964 3
487	2 192 21 83 256 16 6 22 122 32 3
488	2 1965 1966 3
489	2 7 134 807 108 1052 3
490	2 241 54 4 1967 3
491	2 1172 1969 3
492	2 1971 1972 3
493	2 1976 3
494	2 90 1977 3
495	2 537 1981 3
496	2 1983 1984 1805 1002 3
497	2 1986 3
498	2 178 16 6 22 497 319 3
499	2 422 1990 3
500	2 405 1993 3
501	2 833 1994 3
502	2 563 1224 648 3
503	2 1997 1998 3
504	2 127 2000 3
505	2 2002 3
506	2 291 2004 3
507	2 190 2007 3
508	2 2012 442 3
509	2 584 911 1170 1360 11 2014 1645 3
510	2 137 4 2018 3
511	2 507 2025 3
512	2 192 21 83 256 16 6 22 78 3
513	2 2037 119 187 3
514	2 1753 2040 3
515	2 1643 31 25 3
516	2 2044 3
517	2 1603 2052 3
518	2 2054 1678 3
519	2 194 234 8 6 7 149 240 3
520	2 2055 1636 3
521	2 785 2056 1671 3
522	2 18 16 6 22 2057 3
523	2 439 2058 3
524	2 1053 31 25 3
525	2 138 1468 2063 3
526	2 7 26 123 3
527	2 726 727 607 8 6 7 45 3
528	2 2067 2068 2069 3
529	2 2070 3
530	2 1083 2074 9 3
531	2 19 23 72 36 2079 3
532	2 2080 1405 3
533	2 547 2081 3
534	2 1087 2084 3
535	2 251 2087 3
536	2 93 406 2090 3
537	2 1461 309 3
538	2 2092 3
539	2 63 45 119 39 290 502 39 44 3
540	2 1045 165 242 3
541	2 153 2107 297 430 3
542	2 800 221 3
543	2 1615 4 535 3
544	2 2111 442 3
545	2 2116 2117 3
546	2 360 2121 3
547	2 49 52 8 6 50 63 33 140 132 41 3
548	2 2127 3
549	2 2128 2129 3
550	2 2133 295 1248 3
551	2 1388 54 94 868 3
552	2 751 2134 3
553	2 91 2137 3
554	2 2138 2139 2140 3
555	2 2142 2143 3
556	2 2144 123 3
557	2 2146 3
558	2 2149 2150 3
559	2 929 261 3
560	2 1740 188 3
561	2 2153 3
562	2 2154 2155 3
563	2 800 380 3
564	2 5 352 6 537 2163 3
565	2 2164 2165 3
566	2 5 2166 377 12 3
567	2 2169 1846 3
568	2 2170 3
569	2 448 2171 3
570	2 789 16 6 22 1098 3
571	2 1309 1850 3
572	2 739 2173 3
573	2 2174 2175 3
574	2 1357 4 2177 3
575	2 7 148 2178 6 20 97 2179 314 88 1432 167 1374 3
576	2 2188 3
577	2 737 2191 3
578	2 2193 858 3
579	2 1601 463 3
580	2 2197 79 3
581	2 2203 3
582	2 1713 1585 3
583	2 512 2210 3
584	2 296 1696 3
585	2 1266 940 2010 3
586	2 49 52 8 6 50 494 33 59 56 41 3
587	2 2224 3
588	2 2226 928 130 3
589	2 488 2236 3
590	2 1062 2237 3
591	2 36 1136 3
592	2 795 162 17 3
593	2 233 2238 3
594	2 300 2240 3
595	2 600 1759 3
596	2 889 1717 2245 3
597	2 1741 2246 3
598	2 7 92 247 353 20 97 57 88 314 325 3
599	2 216 2216 435 3
600	2 178 16 6 22 1620 3
601	2 961 62 3
602	2 401 143 1298 3
603	2 46 1275 87 3
604	2 2251 124 3
605	2 849 939 2252 3
606	2 518 2254 3
607	2 2257 3
608	2 2261 10 2262 3
609	2 2264 623 3
610	2 2265 3
611	2 190 46 2267 3
612	2 86 4 10 2041 3
613	2 49 52 8 6 50 494 45 140 132 41 3
614	2 53 2274 3
615	2 2278 3
616	2 2281 2282 3
617	2 552 377 731 1349 3
618	2 355 562 87 3
619	2 439 2060 3
620	2 2284 3
621	2 1686 2287 3
622	2 1088 2288 3
623	2 2291 834 2292 3
624	2 167 141 981 255 3
625	2 2295 3
626	2 1286 4 953 3
627	2 2297 2298 3
628	2 2299 245 1292 3
629	2 5 2304 62 3
630	2 2305 2306 3
631	2 707 1067 2308 707 2309 2310 3
632	2 144 8 6 7 64 75 20 254 33 13 20 566 3
633	2 49 52 8 6 50 63 33 140 56 41 3
634	2 137 4 2325 3
635	2 2326 2327 1152 847 3
636	2 194 234 8 6 7 105 3
637	2 194 234 8 6 7 82 3
638	2 1372 623 3
639	2 5 1710 9 1406 3
640	2 138 2338 2339 3
641	2 2340 3
642	2 2341 3
643	2 2344 3
644	2 320 1342 3
645	2 656 356 174 2345 3
646	2 1676 679 1833 3
647	2 5 1143 297 309 207 3
648	2 5 1721 1955 3
649	2 972 1160 3
650	2 5 2356 9 3
651	2 2359 3
652	2 856 31 25 3
653	2 2361 227 115 3
654	2 1464 1391 3
655	2 282 374 1913 130 3
656	2 1953 49 52 8 3
657	2 5 2368 104 3
658	2 160 2373 3
659	2 1658 429 3
660	2 1513 2377 3
661	2 447 2378 3
662	2 1131 4 1081 3
663	2 26 1118 1482 51 3
664	2 49 52 8 6 50 149 33 140 56 41 3
665	2 376 2383 3
666	2 830 432 12 3
667	2 7 1818 21 346 3
668	2 102 44 8 6 7 44 3
669	2 1410 1520 914 2386 2387 421 3
670	2 1985 2388 1649 3
671	2 49 52 8 6 50 149 45 59 132 41 3
672	2 251 414 3
673	2 5 31 25 3
674	2 2395 2396 3
675	2 2397 829 3
676	2 2398 1577 2399 3
677	2 2400 3
678	2 2405 3
679	2 2406 2206 3
680	2 1060 654 2408 3
681	2 1146 189 174 3
682	2 214 1847 3
683	2 2410 2411 3
684	2 988 4 10 2412 1441 4 10 216 811 3
685	2 1259 784 180 51 3
686	2 49 52 8 6 50 63 45 140 132 41 3
687	2 341 2416 3
688	2 43 471 474 16 6 172 475 75 20 2419 78 13 20 1273 88 309 37 3
689	2 5 2420 743 12 3
690	2 2426 261 3
691	2 765 2429 3
692	2 2430 3
693	2 2432 228 130 13 1571 3
694	2 2433 13 10 2434 19 23 40 3
695	2 1851 4 10 700 287 4 1553 3
696	2 2435 40 3
697	2 2436 3
698	2 2442 3
699	2 1299 944 3
700	2 1047 384 3
701	2 2443 1076 2444 1164 3
702	2 1936 233 3
703	2 1877 24 3
704	2 2452 1542 2453 3
705	2 2457 3
706	2 72 163 4 21 83 16 6 22 21 3
707	2 574 2460 710 2461 3
708	2 2463 3
709	2 136 1797 3
710	2 1883 2467 3
711	2 2468 2469 1868 3
712	2 1231 2472 2473 3
713	2 194 234 8 6 7 63 240 3
714	2 2477 3
715	2 27 2481 3
716	2 2484 1556 3
717	2 2145 2485 640 3
718	2 288 2488 2489 3
719	2 2492 1183 2493 3
720	2 2498 999 3
721	2 2499 133 3
722	2 317 670 2501 3
723	2 514 814 2505 3
724	2 2509 2510 3
725	2 1209 1129 3
726	2 486 450 51 3
727	2 164 1096 3
728	2 156 2515 3
729	2 2364 783 3
730	2 49 52 8 6 50 149 45 140 56 41 3
731	2 24 94 367 1050 827 3
732	2 2521 1084 117 3
733	2 2525 2526 3
734	2 2527 2528 3
735	2 980 820 1477 3
736	2 178 16 6 22 931 88 2531 1978 1625 3
737	2 2097 2534 3
738	2 1579 2536 3
739	2 2539 2120 1860 575 3
740	2 46 27 1568 3
741	2 2544 3
742	2 2545 3
743	2 2551 1413 3
744	2 2393 826 51 3
745	2 2553 603 3
746	2 2554 3
747	2 1865 2556 3
748	2 7 638 1123 42 115 3
749	2 7 269 807 108 1052 3
750	2 2557 3
751	2 2558 2559 2560 3
752	2 2562 441 1285 3
753	2 31 8 6 7 439 107 3
754	2 838 629 463 3
755	2 2566 2567 1194 3
756	2 5 1007 329 3
757	2 2568 3
758	2 2571 2572 3
759	2 1630 2573 3
760	2 2574 2575 3
761	2 2579 2580 3
762	2 49 52 8 6 50 63 45 140 56 41 3
763	2 27 1503 1064 3
764	2 507 2585 3
765	2 2586 3
766	2 2589 406 1160 3
767	2 192 21 83 256 16 6 22 1136 3
768	2 1377 2592 3
769	2 5 601 435 3
770	2 7 134 156 64 59 240 3
771	2 46 2599 3
772	2 2601 2003 659 12 3
773	2 633 2604 1911 2605 3
774	2 2606 3
775	2 2607 3
776	2 5 266 2609 338 51 3
777	2 2610 2611 3
778	2 7 170 134 156 64 3
779	2 2617 3
780	2 2619 3
781	2 2622 2623 3
782	2 2624 340 11 10 204 2625 3
783	2 1140 305 1025 3
784	2 27 2626 2627 2628 3
785	2 5 2630 62 3
786	2 2635 3
787	2 2638 3
788	2 161 211 2641 3
789	2 2391 639 1963 8 3
790	2 2646 21 3
791	2 2647 3
792	2 390 547 2648 2649 3
793	2 72 839 4 840 16 6 22 78 3
794	2 1798 276 3
795	2 2651 2652 3
796	2 104 2655 40 3
797	2 355 858 3
798	2 347 1693 3
799	2 70 272 2658 2659 117 3
800	2 2660 3
801	2 2311 331 3
802	2 969 1409 3
803	2 2663 2664 3
804	2 1702 349 168 1026 3
805	2 2665 259 73 168 111 3
806	2 2666 3
807	2 1879 848 1331 430 3
808	2 151 2006 3
809	2 5 2668 79 3
810	2 2669 3
811	2 364 2673 3
812	2 317 2675 3
813	2 2676 3
814	2 5 2677 1958 4 296 2678 9 3
815	2 1208 553 3
816	2 7 742 1123 42 115 3
817	2 2683 3
818	2 2684 2685 3
819	2 49 52 8 6 50 494 45 140 56 41 3
820	2 1213 631 21 3
821	2 5 2688 1787 37 3
822	2 137 4 10 2595 603 3
823	2 524 2689 2104 3
824	2 2693 3
825	2 2694 3
826	2 2106 1875 2696 2697 622 477 135 257 3
827	2 143 2698 614 12 3
828	2 2700 3
829	2 1399 1763 3
830	2 2705 2706 3
831	2 2707 1593 3
832	2 102 44 8 6 7 2709 240 64 3
833	2 2082 2710 3
834	2 1209 1282 3
835	2 1665 2715 3
836	2 1358 2716 3
837	2 2718 3
838	2 1195 128 3
839	2 2721 3
840	2 49 375 16 6 172 2722 6 20 363 142 3
841	2 2451 986 3
842	2 774 942 3
843	2 128 453 1351 177 4 703 11 1151 3
844	2 2726 129 3
845	2 1835 3
846	2 5 2730 4 217 3
847	2 102 115 42 8 6 7 115 4 10 159 3
848	2 2328 2733 3
849	2 2735 2736 3
850	2 364 2738 3
851	2 2742 2743 3
852	2 859 793 3
853	2 1898 52 25 3
854	2 1107 2746 3
855	2 2747 3
856	2 2748 3
857	2 620 96 2376 3
858	2 1924 228 130 3
859	2 43 65 48 8 6 50 64 75 20 170 33 13 20 254 191 59 290 88 314 44 3
860	2 24 4 1863 3
861	2 652 2754 4 2755 3
862	2 67 2757 17 3
863	2 171 2761 582 3
864	2 2763 1869 3
865	2 2765 5 41 2766 2767 3
866	2 904 701 3
867	2 5 2780 17 3
868	2 2782 21 3
869	2 948 1922 1238 3
870	2 2749 54 4 1950 3
871	2 2788 310 2241 3
872	2 5 2791 111 9 3
873	2 2792 2753 3
874	2 514 1952 3
875	2 535 58 3
876	2 2799 3
877	2 2803 4 2804 3
878	2 5 519 2806 9 3
879	2 7 134 156 64 75 20 809 88 283 3
880	2 2807 3
881	2 2808 3
882	2 2810 2811 3
883	2 545 2812 3
884	2 820 2813 3
885	2 2569 2815 2816 3
886	2 2817 157 12 3
887	2 468 2189 210 3
888	2 7 1727 1353 88 2819 506 3
889	2 592 2823 3
890	2 2825 408 3
891	2 2827 3
892	2 872 2830 3
893	2 1437 11 2832 9 3
894	2 1951 2835 3
895	2 27 621 2837 117 3
896	2 18 8 6 1058 758 3
897	2 2842 553 500 3
898	2 874 2843 3
899	2 514 2844 3
900	2 503 225 2846 3
901	2 968 729 17 3
902	2 2854 3
903	2 2857 3
904	2 2858 3
905	2 903 1884 3
906	2 265 2859 3
907	2 30 4 2860 3
908	2 2862 3
909	2 1278 1895 3
910	2 1028 587 3
911	2 137 4 10 24 4 882 3
912	2 1173 2866 3
913	2 2031 4 10 2867 9 3
914	2 740 13 344 3
915	2 585 2871 3
916	2 104 2872 19 23 40 3
917	2 722 93 2047 3
918	2 2874 3
919	2 2875 19 23 40 3
920	2 768 1718 2877 3
921	2 2879 1330 2880 3
922	2 116 1655 3
923	2 2883 3
924	2 1700 2886 3
925	2 31 8 6 7 2889 71 429 506 3
926	2 5 2508 2892 3
927	2 2893 3
928	2 2894 3
929	2 2895 2896 2897 2424 10 2898 11 2899 2900 2901 3
930	2 160 2385 3
931	2 2911 2912 3
932	2 46 2914 3
933	2 2916 767 479 3
934	2 214 555 2920 3
935	2 892 2921 3
936	2 469 4 2922 9 3
937	2 2077 2924 3
938	2 1096 575 3
939	2 569 448 2937 3
940	2 2938 3
941	2 1122 667 2283 2909 2940 3
942	2 1475 1049 3
943	2 5 2941 450 51 3
944	2 899 2050 3
945	2 2009 2948 9 3
946	2 2949 2950 3
947	2 2953 2954 3
948	2 30 4 70 2956 398 11 597 3
949	2 2959 131 418 3
950	2 2588 585 3
951	2 2962 30 3
952	2 1784 897 3
953	2 2967 249 142 2968 3
954	2 2969 17 3
955	2 2974 5 552 2975 3
956	2 39 1587 2977 17 3
957	2 70 2979 3
958	2 31 8 6 7 766 64 1479 39 809 502 283 440 156 3
959	2 2350 299 3
960	2 2980 2981 2820 3
961	2 104 2983 40 3
962	2 2987 131 3
963	2 2989 1194 3
964	2 1278 2991 3
965	2 2674 1404 2228 3
966	2 2026 1005 3
967	2 178 16 6 22 1098 1956 3
968	2 2993 70 3
969	2 827 73 2271 3
970	2 1418 2998 3
971	2 3000 3
972	2 109 8 6 89 3002 148 3
973	2 3003 151 3
974	2 7 134 452 64 3
975	2 18 16 6 22 931 1130 21 3
976	2 3004 3005 3
977	2 55 2320 3
978	2 1770 2105 3006 3
979	2 1320 3009 3
980	2 3010 3
981	2 3012 3013 3014 3
982	2 1258 3016 3
983	2 3019 702 3
984	2 824 13 1184 3
985	2 3021 3
986	2 2172 46 562 303 3
987	2 3022 3
988	2 3024 3
989	2 3025 3026 3
990	2 5 1914 11 10 2229 9 3
991	2 1394 3029 3
992	2 1334 3031 3
993	2 7 1203 3
994	2 26 3033 3
995	2 5 1421 3
996	2 503 134 3
997	2 3034 1551 4 10 3035 2357 3
998	2 113 3039 3
999	2 716 708 3041 3
1000	2 3043 3
1001	2 1019 3045 221 3
1002	2 2409 3047 3
1003	2 716 3049 3
1004	2 31 8 6 7 128 64 75 20 283 108 156 3
1005	2 3052 3053 340 3054 3
1006	2 1007 226 3
1007	2 2021 3055 3
1008	2 3056 3057 3
1009	2 3060 1600 12 3
1010	2 1029 1191 9 3
1011	2 3061 1383 3
1012	2 3062 3063 3
1013	2 2645 1090 3
1014	2 2578 3064 3
1015	2 3065 3066 3
1016	2 3068 3
1017	2 1782 21 3
1018	2 5 2331 1595 3
1019	2 1089 216 1000 3
1020	2 3070 3
1021	2 3073 3074 26 107 3
1022	2 917 3075 3
1023	2 53 574 2775 3
1024	2 332 4 1496 3
1025	2 5 3078 228 130 3
1026	2 740 13 3080 3
1027	2 308 2062 3084 3085 3
1028	2 1352 401 11 10 3087 9 3
1029	2 3089 273 9 3
1030	2 1039 409 3
1031	2 3099 3
1032	2 5 3101 106 3
1033	2 46 3102 3
1034	2 1040 219 3103 3
1035	2 39 1828 3104 3
1036	2 934 7 63 33 8 3
1037	2 3111 3112 902 3
1038	2 274 2194 3113 3
1039	2 1234 3114 3
1040	2 356 1245 3115 3
1041	2 1392 108 3117 3
1042	2 974 64 119 39 2849 502 42 500 3
1043	2 5 2124 180 12 3
1044	2 3126 3
1045	2 3132 1533 911 2096 13 1941 698 3
1046	2 1076 79 9 3
1047	2 3133 3
1048	2 2099 3134 1538 877 432 12 3
1049	2 3135 3
1050	2 3136 3
1051	2 102 115 42 8 6 7 2332 3
1052	2 2475 95 3140 3
1053	2 1769 299 432 12 3
1054	2 5 2043 9 3
1055	2 1259 784 226 3
1056	2 7 128 452 64 3
1057	2 3141 663 3
1058	2 150 503 87 3
