# relation id	tokens	
38	2 4 89 4 89 131 4 136 75 3
39	2 4 65 4 49 24 4 73 33 7 4 65 4 49 33 34 4 34 3
40	2 4 65 4 49 24 4 73 33 7 4 12 4 12 24 33 4 34 3
41	2 4 14 4 135 4 139 3
42	2 4 15 4 15 4 141 23 7 4 15 4 142 69 4 143 3
43	2 4 14 4 82 4 47 151 7 4 14 4 47 70 4 22 3
44	2 4 6 4 6 4 10 18 23 7 4 6 4 6 35 10 18 4 6 10 138 147 3
45	2 4 6 4 6 4 160 168 3
46	2 4 14 4 26 22 4 62 55 7 4 14 4 53 64 4 53 3
47	2 4 39 4 60 4 95 4 115 7 4 39 4 60 4 115 4 112 3
48	2 4 6 4 6 4 132 183 7 4 77 78 4 56 85 86 4 87 3
49	2 4 39 4 60 4 95 4 56 7 4 39 4 60 4 56 4 112 3
50	2 4 36 4 36 88 4 62 175 7 4 36 4 62 36 153 4 44 3
51	2 4 15 4 15 4 154 187 3
52	2 4 6 4 6 4 124 75 3
53	2 4 8 4 13 4 126 3
54	2 4 43 4 116 144 4 134 7 4 43 4 43 34 102 4 191 192 3
55	2 4 40 4 45 120 51 4 170 37 7 4 40 4 45 140 19 4 40 3
56	2 4 6 4 6 4 14 3
57	2 4 6 4 6 4 198 6 167 3
58	2 4 36 4 36 88 4 25 3
59	2 4 113 4 113 4 199 7 4 113 4 200 201 4 202 3
60	2 4 5 4 5 57 4 29 99 7 4 5 4 5 19 4 174 30 3
61	2 4 17 4 41 46 4 163 3
62	2 4 8 4 13 4 180 3
63	2 4 38 4 38 117 4 117 27 7 4 38 4 38 64 4 38 3
64	2 4 15 4 164 216 146 4 132 165 27 217 7 4 77 78 4 56 218 4 219 3
65	2 4 38 4 38 4 155 7 4 15 4 156 157 4 221 3
66	2 4 43 4 43 152 21 4 226 7 4 43 4 43 34 102 4 207 27 152 3
67	2 4 8 4 232 27 169 4 8 3
68	2 4 6 4 233 4 6 3
69	2 4 38 4 22 4 234 7 4 38 4 235 4 38 3
70	2 4 17 4 41 46 4 149 74 3
71	2 4 104 4 237 162 4 8 90 83 162 7 4 104 4 176 185 4 194 3
72	2 4 14 4 25 4 184 25 3
73	2 4 12 4 188 12 24 4 107 171 7 4 12 4 12 133 107 172 4 149 3
74	2 4 43 4 116 144 4 134 7 4 43 4 43 34 102 4 116 195 3
75	2 4 8 4 212 13 4 52 27 169 3
76	2 4 12 4 12 24 4 163 3
77	2 4 6 4 6 4 244 75 3
78	2 4 40 4 45 120 51 4 106 7 4 40 4 45 96 109 4 40 3
79	2 4 14 4 53 117 4 64 7 4 14 4 53 64 4 22 3
80	2 4 6 4 6 4 247 124 75 3
81	2 4 38 4 38 4 155 7 4 15 4 156 157 4 206 248 32 3
82	2 4 80 4 80 150 4 80 250 7 4 80 4 80 150 53 4 166 3
83	2 4 5 4 5 31 61 4 5 16 7 4 5 4 5 11 4 31 30 3
84	2 4 15 4 145 32 4 254 7 4 15 4 126 255 4 126 3
85	2 4 6 4 6 196 4 114 3
86	2 4 12 4 209 96 4 190 7 4 12 4 12 24 33 4 24 3
87	2 4 40 4 45 158 4 12 3
88	2 4 119 4 119 181 4 193 7 4 119 4 119 181 261 193 4 251 3
89	2 4 39 4 224 4 225 15 4 51 3
90	2 4 12 4 12 24 4 33 7 4 161 49 4 49 253 33 34 4 34 23 3
91	2 4 39 4 222 4 223 4 118 146 4 118 184 3
92	2 4 17 4 41 63 4 8 90 83 63 7 4 17 4 17 4 103 92 27 93 3
93	2 4 12 4 12 24 4 33 7 4 161 49 4 49 33 34 4 34 3
94	2 4 14 4 82 4 227 3
95	2 4 159 4 265 4 245 246 4 45 158 4 12 3
96	2 4 39 4 137 4 13 186 4 267 268 7 4 77 78 4 56 85 86 4 87 3
97	2 4 161 49 4 49 24 4 73 33 7 4 12 4 12 24 33 4 34 3
98	2 4 15 4 164 178 52 4 52 3
99	2 4 17 4 41 46 4 272 3
100	2 4 17 4 41 46 273 4 41 46 3
101	2 4 65 4 49 274 4 73 24 7 4 12 4 12 24 33 4 24 3
102	2 4 15 4 51 4 275 259 276 3
103	2 4 40 4 45 158 4 120 208 3
104	2 4 12 4 188 12 24 4 107 171 7 4 12 4 12 133 107 172 4 107 3
105	2 4 8 4 84 105 74 4 278 27 83 74 7 4 8 4 84 4 15 27 57 3
106	2 4 12 4 12 24 4 111 3
107	2 4 14 4 26 22 4 281 55 7 4 14 4 252 70 4 26 22 3
108	2 4 5 4 5 68 61 4 29 37 7 4 5 4 5 19 4 174 30 3
109	2 4 159 4 213 4 214 4 182 196 4 215 7 4 159 4 213 4 214 4 182 215 4 182 3
110	2 4 80 4 80 282 4 166 7 4 80 4 80 150 53 4 166 3
111	2 4 17 4 205 4 283 220 7 4 77 78 4 56 85 86 4 87 3
112	2 4 38 4 289 38 4 290 7 4 77 78 4 56 85 86 4 87 3
113	2 4 15 4 145 32 4 291 292 7 4 77 78 4 56 85 86 4 87 3
114	2 4 39 4 60 4 95 4 231 7 4 39 4 60 4 231 4 112 3
115	2 4 6 4 6 4 71 28 7 4 6 4 6 28 72 4 293 3
116	2 4 6 4 6 4 294 75 3
117	2 4 8 4 13 4 94 23 7 4 8 4 84 4 94 3
118	2 4 154 4 210 4 167 3
119	2 4 39 4 60 4 15 4 298 7 4 39 4 60 4 299 300 4 301 3
120	2 4 5 4 238 302 4 303 203 238 304 7 4 5 4 305 4 306 3
121	2 4 39 4 239 4 240 249 241 4 307 7 4 39 4 239 4 240 241 308 4 24 3
122	2 4 36 4 36 148 4 189 124 7 4 36 4 36 148 242 4 88 3
123	2 4 6 4 6 4 6 309 3
124	2 4 12 4 12 24 15 4 190 3
125	2 4 39 4 137 4 38 186 4 173 165 7 4 39 4 137 4 173 243 4 260 15 3
126	2 4 104 4 104 211 4 310 3
127	2 4 40 4 45 111 4 106 7 4 40 4 45 96 109 4 40 3
128	2 4 15 4 118 177 4 51 3
129	2 4 98 4 318 98 4 208 263 203 3
130	2 4 6 4 6 4 319 3
131	2 4 15 4 51 4 320 27 43 3
132	2 4 17 4 205 4 324 220 7 4 77 78 4 56 85 86 4 87 3
133	2 4 8 4 13 4 176 325 7 4 104 4 176 185 4 194 3
134	2 4 17 4 92 27 93 4 67 258 7 4 17 4 17 4 103 92 27 93 3
135	2 4 36 4 36 256 4 189 7 4 36 4 36 256 326 4 88 3
136	2 4 6 4 6 4 279 7 4 6 4 6 6 81 69 4 6 138 147 3
137	2 4 12 4 12 133 107 4 171 7 4 12 4 12 133 107 172 4 149 3
138	2 4 17 4 92 27 93 4 67 258 7 4 17 4 17 4 108 3
139	2 4 36 4 36 88 4 51 27 227 3
140	2 4 17 4 41 63 4 8 90 83 63 7 4 17 4 17 4 108 3
141	2 4 40 4 45 120 51 4 170 37 7 4 40 4 45 140 19 4 140 3
142	2 4 39 4 335 4 210 4 323 336 3
143	2 4 39 4 224 4 225 15 4 206 3
144	2 4 15 4 164 178 52 4 178 3
145	2 4 36 4 36 88 4 180 3
146	2 4 8 4 13 4 94 23 7 4 8 4 84 4 15 27 57 3
147	2 4 39 4 264 4 228 229 230 4 73 228 229 230 7 4 39 4 264 4 73 228 229 230 4 73 338 3
148	2 4 6 4 6 4 6 339 3
149	2 4 15 4 197 27 118 177 4 197 27 7 4 15 4 118 177 197 69 4 118 177 3
150	2 4 179 4 179 24 4 24 269 7 4 179 4 179 24 269 4 314 3
151	2 4 36 4 36 270 4 36 189 7 4 36 4 36 88 270 69 4 36 88 3
152	2 4 6 4 6 4 10 18 23 7 4 6 4 6 35 10 18 4 6 35 342 343 3
153	2 4 36 4 36 148 4 189 124 7 4 36 4 36 148 242 4 148 74 3
154	2 4 43 4 262 4 43 280 102 7 4 43 4 43 34 102 4 116 195 3
155	2 4 14 4 53 117 4 64 7 4 14 4 53 64 4 53 3
156	2 4 204 4 95 4 95 346 7 4 204 4 115 4 347 3
157	2 4 15 4 51 4 348 98 3
158	2 4 6 4 6 4 236 284 7 4 6 4 236 6 153 4 13 3
159	2 4 39 4 137 4 38 186 4 173 165 7 4 39 4 137 4 173 243 4 260 98 3
160	2 4 8 4 125 4 180 263 3
161	2 4 14 4 82 4 70 7 4 14 4 252 70 4 26 22 3
162	2 4 5 4 5 21 4 349 341 350 3
163	2 4 204 4 95 4 351 352 7 4 204 4 353 69 4 95 3
164	2 4 39 4 285 4 286 90 354 4 355 356 7 4 39 4 285 4 287 286 69 4 287 357 3
165	2 4 15 4 145 32 4 266 297 7 4 77 78 4 56 85 86 4 87 3
166	2 4 38 4 38 4 288 7 4 38 4 38 69 4 288 3
167	2 4 6 4 6 4 361 312 75 3
168	2 4 104 4 104 211 4 362 7 4 77 78 4 56 85 86 4 87 3
169	2 4 159 4 363 4 245 246 4 330 38 4 117 364 3
170	2 4 6 4 6 4 365 3
171	2 4 6 4 44 4 6 7 4 6 4 26 4 334 26 74 3
172	2 4 15 4 145 32 4 100 311 257 7 4 15 4 368 321 369 4 311 257 3
173	2 4 38 4 38 4 155 7 4 15 4 156 157 4 51 3
174	2 4 6 4 6 4 370 75 3
175	2 4 6 4 6 4 371 7 4 6 4 6 372 4 6 10 32 3
176	2 4 104 4 104 211 4 373 374 7 4 77 78 4 56 85 86 4 87 3
177	2 4 277 4 313 4 313 27 3
178	2 4 15 4 145 32 4 266 297 327 328 7 4 77 78 4 56 85 86 4 87 3
179	2 4 277 4 329 4 375 376 3
180	2 4 12 4 12 24 4 33 7 4 179 4 179 33 34 4 34 3
181	2 4 5 4 316 27 317 4 377 7 4 5 4 316 27 317 378 4 379 3
182	2 4 12 4 12 133 4 190 7 4 12 4 12 133 380 4 24 3
183	2 4 39 4 222 4 223 4 118 146 4 118 146 74 3
184	2 4 12 4 12 24 4 33 7 4 249 4 249 33 34 4 34 3
185	2 4 15 4 381 178 4 178 382 3
186	2 4 6 4 6 4 6 160 312 75 3
187	2 4 104 4 104 211 4 383 7 4 77 78 4 56 85 86 4 87 3
188	2 4 119 4 119 181 4 384 257 385 386 7 4 119 4 322 4 387 27 322 3
189	2 4 5 4 5 21 4 21 27 3
190	2 4 39 4 137 4 38 186 4 173 165 7 4 39 4 137 4 173 243 4 388 21 3
191	2 4 6 4 6 4 279 7 4 6 4 6 6 81 69 4 32 3
192	2 4 89 4 89 131 4 331 7 4 89 4 389 69 4 331 3
193	2 4 8 4 212 13 4 52 27 390 3
194	2 4 39 4 391 4 392 27 332 4 332 3
195	2 4 12 4 111 4 209 106 7 4 12 4 209 12 393 4 96 3
196	2 4 38 4 296 333 38 4 394 90 7 4 38 4 296 333 395 4 396 397 3
197	2 4 17 4 205 4 398 321 399 3
198	2 4 15 4 51 4 197 3
199	2 4 15 4 145 32 4 266 400 7 4 77 78 4 401 85 86 4 402 87 3
200	2 4 38 4 38 403 4 404 340 3
201	2 4 15 4 15 4 405 79 3
202	2 4 39 4 60 4 95 4 337 7 4 39 4 60 4 337 4 112 3
203	2 4 8 4 125 4 406 138 3
204	2 4 39 4 407 4 95 408 4 204 409 3
205	2 4 36 4 36 88 4 88 410 3
206	2 4 15 4 145 32 4 411 327 328 203 412 413 7 4 77 78 4 56 85 86 4 87 3
207	2 4 36 4 36 88 4 36 148 7 4 36 4 36 148 242 4 148 74 3
208	2 4 277 4 329 4 414 8 90 83 415 3
209	2 4 8 4 13 4 295 23 7 4 8 4 295 69 4 295 3
210	2 4 15 4 118 177 4 416 259 177 27 3
211	2 4 6 4 6 4 271 55 7 4 6 4 271 26 4 44 3
212	2 4 6 4 44 4 271 55 7 4 6 4 271 26 4 98 3
213	2 4 39 4 222 4 223 4 118 146 4 197 3
214	2 4 43 4 262 4 43 280 102 7 4 43 4 43 34 102 4 417 162 3
215	2 4 39 4 167 4 418 4 208 419 3
216	2 4 154 4 210 4 420 27 421 210 3
217	2 4 38 4 38 4 52 340 3
218	2 4 40 4 45 158 4 170 422 7 4 40 4 45 140 19 4 140 3
219	2 4 6 4 6 423 424 4 6 425 426 3
220	2 4 43 4 344 315 4 427 203 83 315 7 4 43 4 344 315 185 4 262 3
221	2 4 428 345 4 345 24 4 73 33 7 4 12 4 12 24 33 4 34 3
222	2 4 429 4 430 4 82 3
223	2 4 12 4 12 34 4 110 7 4 12 4 12 24 33 4 34 3
224	2 4 8 4 42 4 431 27 3
225	2 4 159 4 432 4 433 4 434 4 435 3
226	2 4 36 4 36 436 4 36 62 284 7 4 36 4 36 62 236 153 4 88 3
227	2 4 43 4 437 438 4 134 7 4 43 4 43 34 102 4 116 195 3
228	2 4 43 4 262 4 43 280 102 7 4 43 4 43 34 102 4 207 27 152 3
229	2 4 17 4 205 4 330 220 7 4 77 78 4 56 85 86 4 87 3
230	2 4 39 4 358 4 359 251 4 360 439 7 4 39 4 358 4 360 440 4 359 441 3
231	2 4 6 4 334 6 26 74 4 6 26 74 7 4 6 4 26 4 6 3
232	2 4 442 4 443 444 4 445 257 3
233	2 4 14 4 135 4 446 3
234	2 4 6 4 6 4 6 447 448 75 3
235	2 4 39 4 366 4 367 175 117 4 449 7 4 39 4 366 4 367 314 185 4 175 134 3
236	2 4 36 4 296 450 22 4 36 62 236 284 7 4 36 4 36 62 236 153 4 13 3
237	2 4 12 4 12 34 4 110 7 4 161 49 4 49 253 33 34 4 34 23 3
238	2 4 6 4 13 341 323 451 203 6 4 114 7 4 6 4 236 6 153 4 74 27 153 3
